# $Id: schema.dat,v 1.4 2005/08/15 19:52:31 jv Exp $
#
# Dit bestand definiëert alle vaste gegevens van een administratie (of
# groep administarties): het rekeningschema (balansrekeningen en
# resultaatrekeningen), de dagboeken en de BTW tarieven.
# 
# Algemene syntaxregels: 
# 
# * Lege regels en regels die beginnen met een hekje # worden niet
#   geïnterpreteerd.
# * Een niet-ingesprongen tekst introduceert een nieuw onderdeel. 
# * Alle ingesprongen regels zijn gegevens voor dat onderdeel.

# REKENINGSCHEMA
# 
# Het rekeningschema is hiërarchisch opgezet volgende de beproefde
# methode Bakker. De hoofdverdichtingen lopen van 1 t/m 9, de
# verdichtingen t/m 99. De grootboekrekeningen zijn verdeeld in
# balansrekeningen en resultaatrekeningen. 
# 
# De omschrijving van de grootboekrekeningen wordt voorafgegaan door een
# dubbel vlaggetje, twee letters die resp. Debet/Credit en Kosten/Omzet
# aangeven. De omschrijving wordt indien nodig gevolgd door extra
# informatie. Voor grootboekrekeningen kan op deze wijze de BTW
# tariefstelling worden aangegeven die op deze rekening van toepassing
# is:
# 
#   :btw=hoog
#   :btw=laag
# 
# Ook is het mogelijk aan te geven dat een rekening een koppeling
# (speciale betekenis) heeft met :koppeling=xxx. De volgende koppelingen
# zijn mogelijk:
# 
#   crd		de tegenrekening (Crediteuren) voor inkoopboekingen
#   deb		de tegenrekening (Debiteuren) voor verkoopboekingen
#   btw_ih	de rekening voor BTW boekingen voor inkopen, hoog tarief
#   btw_il	idem, laag tarief
#   btw_vh	idem, verkopen, hoog tarief
#   btw_vl	idem. laag tarief
#   btw_ok	rekening voor de betaalde BTW
#   winst	rekening waarop de winst wordt geboekt
# 
# Al deze koppelingen moeten éénmaal in het rekeningschema voorkomen.
#
# BELANGRIJK: Mutaties die middels de command line shell of de API
# worden uitgevoerd maken gebruik van de Debet/Credit status en het
# geassocieerde BTW tarief van de grootboekrekeningen. Wijzigingen
# hierin kunnen dus consequenties hebben voor de reeds in scripts
# vastgelegde boekingen.

Balansrekeningen

  1  Vaste Activa
     11  Immateriële vaste activa
         110   DK  Aanloopkosten
         111   CK  Afschrijving aanloopkst.
     12  Materiële vaste activa
         200   DK  Gebouwen en terreinen
         201   CK  Afschrijving gebouwen
         210   DK  Verbouwing
         211   CK  Afschrijving verbouwingen
         220   DK  Machines en installaties
         221   CK  Afschrijving mach. & installaties
         230   DK  Inventaris en inrichting                   :btw=hoog
         231   CK  Afschrijving inventaris & inrichting
         240   DK  Computers                                  :btw=hoog
         241   CK  Afschrijving computers
     13  Financiële vaste activa
         320   DK  Lening u/g de heer A

  2  Vlottende activa
     21  Handelsvoorraden
         3000  DK  Voorraad
         3900  CK  Voorziening incourante voorraad
     22  Vorderingen
         1200  DK  Debiteuren                                 :koppeling=deb
         1210  CK  Factoring debiteuren
         1220  DK  Debiteuren vorig boekjaar
         1250  DK  Dubieuze debiteuren
         1290  DK  Voorziening debiteuren
         1300  DK  Waarborgsommen
         1350  DK  Te factureren omzet
         1360  DK  Te ontvangen rente
         1370  DK  Te ontvangen ziekengeld
         1380  DK  Te ontvangen provisie
         1400  DK  Vooruitbet. huisvestingskosten
         1410  DK  Vooruitbet. reclamekosten
         1420  DK  Vooruitbet. verzekering
         1430  DK  Vooruitbet. autokosten
         1440  CK  Vooruitbet. kantoorartikelen
     23  Effecten
         900   DK  Aandelen
         910   DK  Obligaties
     24  Liquide middelen
         1000  DK  Kas
         1120  DK  Postbank
         1150  DK  Deposito
         1190  DK  Kruisposten
         1191  DK  Kruisposten Kas
         1192  DK  Kruisposten overboekingen
     25  Tussenrekeningen
         2000  CK  Vraagposten
         2200  DK  Kostenspreiding vorderingen
         2210  CK  Kostenspreiding schulden
         2400  CK  Onbekende betalingen
         2900  DK  Correctierekening

  3  Eigen vermogen
     31  Kapitaal
         500   CK  Kapitaal                                   :koppeling=winst
         510   CK  Privé stortingen
         520   CK  Privé opnamen
         530   CK  Privé rente
         540   CK  Privé ziektekosten
         550   CK  Privé belastingen
         560   CK  Privé schenkingen
         570   CK  Privé verzekeringen
         580   CK  Privé buitengewone lasten
         590   CK  Privé uitgaven overige

  4  Vreemd vermogen
     41  Kredietinstellingen lang
         810   CK  Lening Bank
         811   CK  Middellang krediet Bank
     44  Overige schulden lang
         880   CK  Lening opgenomen
         890   CK  Overige leningen
     46  Leveranciers kredieten
         1600  CK  Crediteuren                                :koppeling=crd
         1620  CK  Crediteuren vorig boekjaa
         1650  CK  Nog te ontvangen fakturen
     48  Belastingen & soc. lasten
         1500  CK  BTW Verkoop Hoog                           :koppeling=btw_vh
         1510  CK  BTW Verkoop Laag                           :koppeling=btw_vl
         1520  DK  BTW Inkoop Hoog                            :koppeling=btw_ih
         1530  DK  BTW Inkoop Laag                            :koppeling=btw_il
         1540  CK  BTW autokostenverg. 12%
         1550  CK  BTW Import
         1560  CK  Omzetbelasting betaald                     :koppeling=btw_ok
         1710  CK  Loonheffing betaald
         1711  CK  Ingehouden loonheffing
         1720  CK  Bedrijfsvereniging bet.
         1721  CK  Berekende premie BVG
         1730  CK  Pensioenpremie betaald
         1731  CK  Berekende pesioenpremie
         1740  CK  VUT premie betaald
         1741  CK  Berekende VUT premie
